date,district,pm25,pm10,no2,o3,temperature,humidity,wind_speed,aqi
2023-01-01,Esil,33.84,67.27,58.21,51.5,-17.79,72.93,8.67,56.7
2023-01-02,Esil,42.7,81.62,44.98,16.51,-17.17,48.54,11.19,78.9
2023-01-03,Esil,43.11,72.3,71.47,56.25,-17.43,71.38,7.95,73.2
2023-01-04,Esil,49.36,90.9,62.05,60.41,-15.54,53.34,1.48,87.1
2023-01-05,Esil,45.96,79.87,35.13,42.57,-16.86,53.48,3.08,89.0
2023-01-06,Esil,43.76,71.94,57.25,13.28,-12.71,71.61,9.85,87.1
2023-01-07,Esil,36.68,69.34,43.95,39.76,-14.06,69.35,8.31,63.6
2023-01-08,Esil,36.64,68.98,52.73,41.04,-9.7,63.42,6.18,74.9
2023-01-09,Esil,49.55,84.45,67.54,18.27,-11.72,31.54,5.8,87.3
2023-01-10,Esil,41.9,79.28,55.79,29.74,-12.52,44.68,8.28,81.6
2023-01-11,Esil,41.22,71.35,30.43,33.87,-15.9,31.14,1.99,77.7
2023-01-12,Esil,43.49,78.95,41.14,10.32,-12.47,52.31,5.19,70.8
2023-01-13,Esil,41.97,83.3,61.53,46.27,-16.7,75.43,8.7,67.3
2023-01-14,Esil,46.95,75.18,39.38,38.25,-14.22,34.82,10.93,82.5
2023-01-15,Esil,44.93,81.48,52.68,41.09,-17.83,67.93,8.91,71.9
2023-01-16,Esil,49.18,77.32,29.92,39.0,-12.84,32.08,6.43,87.9
2023-01-17,Esil,48.98,74.03,72.62,31.12,-16.04,59.05,4.82,92.5
2023-01-18,Esil,47.08,84.08,47.8,21.29,-10.62,54.33,6.4,83.9
2023-01-19,Esil,52.91,103.07,32.88,35.53,-14.26,51.95,1.24,86.3
2023-01-20,Esil,52.89,99.67,31.26,57.21,-14.34,44.06,8.25,90.1
2023-01-21,Esil,41.52,79.06,38.31,61.05,-15.64,57.74,5.08,77.8
2023-01-22,Esil,44.73,68.1,45.17,64.06,-13.08,42.8,11.3,84.8
2023-01-23,Esil,44.14,73.18,61.84,47.01,-7.73,74.54,10.83,95.4
2023-01-24,Esil,40.03,64.87,28.15,56.34,-11.04,67.34,3.89,73.8
2023-01-25,Esil,49.79,82.41,63.81,61.69,-13.32,59.97,10.62,93.9
2023-01-26,Esil,46.73,85.93,30.11,34.78,-12.51,30.7,3.53,81.4
2023-01-27,Esil,47.66,89.11,30.85,10.13,-15.52,39.99,9.85,91.6
2023-01-28,Esil,47.47,93.89,38.56,59.42,-13.16,45.05,6.37,87.4
2023-01-29,Esil,47.3,80.86,72.5,40.9,-10.81,61.7,2.16,83.9
2023-01-30,Esil,44.65,69.41,64.87,52.76,-12.24,53.37,9.63,66.8
2023-01-31,Esil,53.62,91.5,44.8,28.98,-11.69,60.3,10.55,102.5
2023-02-01,Esil,39.49,73.97,62.68,10.27,-16.3,52.69,3.73,60.5
2023-02-02,Esil,37.77,59.38,67.38,16.4,-11.96,37.31,10.07,66.7
2023-02-03,Esil,45.74,72.6,26.39,40.78,-11.08,35.77,1.23,95.3
2023-02-04,Esil,44.36,85.41,25.48,17.01,-10.03,45.9,6.55,107.6
2023-02-05,Esil,40.97,69.1,48.48,15.89,-4.03,58.56,5.58,92.3
2023-02-06,Esil,51.1,99.72,74.31,53.24,-9.33,76.24,2.09,102.0
2023-02-07,Esil,44.95,78.97,66.36,33.9,-9.77,68.95,2.48,84.7
2023-02-08,Esil,37.32,63.77,32.83,29.99,-9.2,43.32,2.54,77.9
2023-02-09,Esil,41.36,81.67,68.23,35.32,-10.52,48.97,8.54,87.9
2023-02-10,Esil,47.28,83.52,55.83,23.83,-8.01,72.43,8.18,100.8
2023-02-11,Esil,42.28,76.4,27.44,48.76,-12.66,64.74,10.47,84.5
2023-02-12,Esil,38.71,69.56,60.75,53.15,-13.64,36.87,11.55,62.3
2023-02-13,Esil,47.54,84.73,52.88,34.15,-8.61,59.5,2.05,95.4
2023-02-14,Esil,33.39,65.64,26.0,16.21,-8.28,69.96,6.41,75.3
2023-02-15,Esil,46.14,76.9,68.76,52.93,-7.18,50.93,9.52,93.3
2023-02-16,Esil,47.29,93.07,46.08,28.21,-10.66,45.72,2.73,102.6
2023-02-17,Esil,46.08,77.79,73.16,48.81,-10.08,76.81,9.58,95.4
2023-02-18,Esil,32.53,58.37,54.06,11.25,-5.97,72.53,8.01,74.0
2023-02-19,Esil,39.47,65.16,67.76,52.88,-12.21,44.77,6.04,61.8
2023-02-20,Esil,46.59,72.37,73.93,43.57,-14.11,73.96,4.12,87.7
2023-02-21,Esil,42.08,66.12,61.46,21.14,-4.67,74.85,1.32,81.5
2023-02-22,Esil,49.77,89.74,65.01,21.78,-5.16,31.81,1.06,81.7
2023-02-23,Esil,41.43,76.62,64.33,9.86,-8.53,70.05,11.21,74.0
2023-02-24,Esil,37.79,70.56,30.99,27.59,-2.2,61.5,10.36,84.0
2023-02-25,Esil,39.83,60.58,66.16,54.18,-0.86,60.58,1.6,90.4
2023-02-26,Esil,36.56,69.16,52.79,43.23,-7.6,39.18,11.78,73.6
2023-02-27,Esil,47.26,86.23,71.21,18.66,-1.58,45.07,7.36,96.9
2023-02-28,Esil,44.68,73.23,38.64,34.61,-4.26,53.71,2.31,93.1
2023-03-01,Esil,34.67,62.2,36.25,12.66,-5.14,50.59,5.5,66.3
