epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5361,1.43249,3.80145,1.47822,0.00907,0.47705,0.03116,0.02207,1.31462,4.07132,1.2658,0.00015,0.00015,0.00015
2,136.262,1.35412,2.95659,1.41315,0.01061,0.30703,0.10695,0.08034,1.30906,3.84486,1.30225,0.000294655,0.000294655,0.000294655
3,197.359,1.32743,2.56454,1.39151,0.01858,0.54905,0.02811,0.01492,1.41824,3.69437,1.3535,0.00042347,0.00042347,0.00042347
4,256.329,1.362,2.28231,1.41691,0.57902,0.03616,0.09973,0.06106,1.53704,3.46825,1.45385,0.000536445,0.000536445,0.000536445
5,315.37,1.27602,2.16642,1.34797,0.39908,0.04058,0.04788,0.02624,1.55565,3.60614,1.52972,0.00063358,0.00063358,0.00063358
6,375.681,1.23619,1.87148,1.28112,0.45343,0.04175,0.03925,0.02044,1.61609,3.88531,1.61094,0.000714875,0.000714875,0.000714875
7,433.964,1.19104,1.82924,1.27439,0.23859,0.05272,0.03774,0.01848,1.62064,3.66776,1.56956,0.000703,0.000703,0.000703
8,506.541,1.21744,1.75356,1.28582,0.38733,0.08273,0.04711,0.0221,1.58859,3.06297,1.54016,0.0006535,0.0006535,0.0006535
9,568.038,1.15934,1.63369,1.2507,0.56663,0.077,0.06191,0.0281,1.58061,3.05619,1.51619,0.000604,0.000604,0.000604
10,629.203,1.12734,1.62189,1.26035,0.60612,0.10739,0.05924,0.02998,1.65915,2.92588,1.55375,0.0005545,0.0005545,0.0005545
11,688.471,1.15886,1.92824,1.26506,0.66865,0.09532,0.07952,0.03752,1.58615,3.37633,1.5465,0.000505,0.000505,0.000505
12,747.954,1.12704,1.75661,1.22751,0.75422,0.08717,0.09223,0.03137,1.51792,2.92811,1.50692,0.0004555,0.0004555,0.0004555
13,806.737,1.02246,1.57403,1.1668,0.60273,0.10653,0.10111,0.04094,1.58257,3.0113,1.54284,0.000406,0.000406,0.000406
14,866.437,1.01249,1.50734,1.16012,0.51973,0.11561,0.23679,0.17791,1.54512,3.2074,1.50397,0.0003565,0.0003565,0.0003565
15,922.373,0.99107,1.41441,1.15008,0.30602,0.3277,0.13497,0.08777,1.52467,2.92488,1.51809,0.000307,0.000307,0.000307
16,978.793,0.95508,1.35236,1.12492,0.45114,0.1533,0.24922,0.20758,1.52496,2.90738,1.53949,0.0002575,0.0002575,0.0002575
17,1034.46,0.94483,1.33714,1.10894,0.49904,0.1244,0.11207,0.06642,1.53973,2.96556,1.5112,0.000208,0.000208,0.000208
18,1090.81,0.90948,1.28346,1.10043,0.71002,0.10653,0.10297,0.05716,1.56438,2.98739,1.51589,0.0001585,0.0001585,0.0001585
19,1146.67,0.90901,1.20465,1.07647,0.51012,0.11646,0.10948,0.06696,1.55749,2.95796,1.50824,0.000109,0.000109,0.000109
20,1203.55,0.8811,1.20676,1.08639,0.4692,0.11378,0.12371,0.08025,1.53168,2.94831,1.49305,5.95e-05,5.95e-05,5.95e-05
